100-SE-A,100-SE-B,101-SE-A,101-SE-B,102-SE-A,102-SE-B,103-SE-A,103-SE-B,105-SE-A,105-SE-B,107-SE-A,107-SE-B,109-SE-A,109-SE-B,110-SE-A,110-SE-B,113-SE-A,113-SE-B,118-SE-A,118-SE-B,119-SE-A,119-SE-B,120-SE-A,120-SE-B,CONT-SE-1A,CONT-SE-1B,CONT-SE-2A,CONT-SE-2B,GKSE-A,GKSE-B,SPSE-A,SPSE-B
sp|Q96PF1|TGM7_HUMAN,,,tr|F5H7E1|F5H7E1_HUMAN,,tr|F5H7E1|F5H7E1_HUMAN,tr|E9PIT3|E9PIT3_HUMAN,sp|P04196|HRG_HUMAN,,tr|H0Y5D1|H0Y5D1_HUMAN,sp|O14907|TX1B3_HUMAN,tr|C9JK18|C9JK18_HUMAN,tr|G3V3A0|G3V3A0_HUMAN,tr|B7ZKJ8|B7ZKJ8_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,tr|E9PEW8|E9PEW8_HUMAN,,,tr|B4DSM2|B4DSM2_HUMAN,sp|Q0VAA2|CN16B_HUMAN,,,sp|A4FU69-2|EFCB5_HUMAN,,,,,,,,,
tr|C9JSB2|C9JSB2_HUMAN,,,sp|P02747|C1QC_HUMAN,,tr|B4DH42|B4DH42_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P01611|KV119_HUMAN,,sp|Q9BYJ4-2|TRI34_HUMAN,sp|P50461|CSRP3_HUMAN,sp|Q9NWS8-2|RMND1_HUMAN,,tr|F8WB23|F8WB23_HUMAN,sp|P01019|ANGT_HUMAN,,,,sp|A6NKZ8|YI016_HUMAN,sp|A6NKZ8|YI016_HUMAN,,,tr|E5RFJ5|E5RFJ5_HUMAN,,,,,,,,,
,,,sp|P01031|CO5_HUMAN,,,sp|P01717|LV403_HUMAN,tr|H0YA82|H0YA82_HUMAN,,sp|A6NKZ8|YI016_HUMAN,,sp|O43866|CD5L_HUMAN,,tr|E9PC15|E9PC15_HUMAN,sp|P04208|LV106_HUMAN,,,,,sp|O75808|CAN15_HUMAN,,,sp|A7MBM2|DISP2_HUMAN,,,,,,,,,
,,,sp|Q8IWB1|IPRI_HUMAN,,,tr|F5H7E1|F5H7E1_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,,,,sp|P01763|HV302_HUMAN,,,tr|F8WB23|F8WB23_HUMAN,,,,,,,,tr|E9PRA1|E9PRA1_HUMAN,,,,,,,,,
,,,sp|Q99856|ARI3A_HUMAN,,,sp|P01611|KV119_HUMAN,tr|Q5KU28|Q5KU28_HUMAN,,,,,,,,,,,,,,,sp|Q96MC2|CC164_HUMAN,,,,,,,,,
,,,tr|B4DK71|B4DK71_HUMAN,,,sp|Q96PF1|TGM7_HUMAN,sp|P46199|IF2M_HUMAN,,,,,,,,,,,,,,,sp|Q02846|GUC2D_HUMAN,,,,,,,,,
,,,,,,sp|Q8NHU6-2|TDRD7_HUMAN,,,,,,,,,,,,,,,,sp|O43272-1|PROD_HUMAN,,,,,,,,,
,,,,,,tr|I3L487|I3L487_HUMAN,,,,,,,,,,,,,,,,sp|O95837|GNA14_HUMAN,,,,,,,,,
,,,,,,sp|Q9BYJ4-2|TRI34_HUMAN,,,,,,,,,,,,,,,,sp|Q0ZGT2-2|NEXN_HUMAN,,,,,,,,,
,,,,,,sp|Q6IFG1|O52E8_HUMAN,,,,,,,,,,,,,,,,tr|H7C2G2|H7C2G2_HUMAN,,,,,,,,,
,,,,,,sp|O75460|ERN1_HUMAN,,,,,,,,,,,,,,,,,,,,,,,,,
